data;valor
1986-06-04;0,065041
1986-06-05;0,067397
1986-06-06;0,06674
1986-06-09;0,068247
1986-06-10;0,067041
1986-06-11;0,06674
1986-06-12;0,066575
1986-06-13;0,066164
1986-06-16;0,066493
1986-06-17;0,066247
1986-06-18;0,066301
1986-06-19;0,066164
1986-06-20;0,066055
1986-06-23;0,06611
1986-06-24;0,066027
1986-06-25;0,066493
1986-06-26;0,066411
1986-06-27;0,066301
1986-06-30;0,066603
1986-07-01;0,06663
1986-07-02;0,068301
1986-07-03;0,073973
1986-07-04;0,083178
1986-07-07;0,083315
1986-07-08;0,083151
1986-07-09;0,084411
1986-07-10;0,085096
1986-07-11;0,085151
1986-07-14;0,085178
1986-07-15;0,084767
1986-07-16;0,084849
1986-07-17;0,084849
1986-07-18;0,085014
1986-07-21;0,085041
1986-07-22;0,08526
1986-07-23;0,08789
1986-07-24;0,088164
1986-07-25;0,088438
1986-07-28;0,088849
1986-07-29;0,088849
1986-07-30;0,088795
1986-07-31;0,088849
1986-08-01;0,088986
1986-08-04;0,089315
1986-08-05;0,089671
1986-08-06;0,090219
1986-08-07;0,093644
1986-08-08;0,110356
1986-08-11;0,127644
1986-08-12;0,126575
1986-08-13;0,129315
1986-08-14;0,129589
1986-08-15;0,132082
1986-08-18;0,132932
1986-08-19;0,132521
1986-08-20;0,132301
1986-08-21;0,132904
1986-08-22;0,133123
1986-08-25;0,133041
1986-08-26;0,133014
1986-08-27;0,133068
1986-08-28;0,132986
1986-08-29;0,13326
1986-09-01;0,130959
1986-09-02;0,131178
1986-09-03;0,131562
1986-09-04;0,13126
1986-09-05;0,131342
1986-09-08;0,131151
1986-09-09;0,131425
1986-09-10;0,131315
1986-09-11;0,131315
1986-09-12;0,131315
1986-09-15;0,131315
1986-09-16;0,131315
1986-09-17;0,131973
1986-09-18;0,13211
1986-09-19;0,132356
1986-09-22;0,132575
1986-09-23;0,132904
1986-09-24;0,132548
1986-09-25;0,132767
1986-09-26;0,132685
1986-09-29;0,132904
1986-09-30;0,132986
1986-10-01;0,066685
1986-10-02;0,071945
